kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8255887,K00908.01,Kepler-720 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.708326451,171.446507,0.061,3.16114,7912.7,10.6,1162.0,431.02,633.4,1,q1_q17_dr25_tce,5560.0,4.246,1.21,298.63565,44.17094,15.113
8414716,K00910.01,Kepler-721 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.392026903,171.72707,0.314,2.9804,1151.4,2.68,850.0,123.33,77.4,1,q1_q17_dr25_tce,5198.0,4.589,0.801,284.43051,44.48053,15.651
8490993,K00911.01,Kepler-722 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.093578461,171.00954,0.93,2.5833,538.6,2.85,1182.0,461.07,36.4,1,q1_q17_dr25_tce,6077.0,4.471,0.999,290.26328,44.55645,15.399
8490993,K00911.02,Kepler-722 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,105.145959,178.367,0.964,8.593,685.4,3.43,401.0,6.09,15.4,2,q1_q17_dr25_tce,6077.0,4.471,0.999,290.26328,44.55645,15.399
8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.8484518,171.80584,0.21,2.9993,1675.6,2.34,499.0,14.66,64.5,1,q1_q17_dr25_tce,4201.0,4.682,0.591,295.57935,44.545959,15.058
8505670,K00912.02,Kepler-252 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.66833241,137.43988,0.644,1.915,362.3,1.18,587.0,28.06,14.2,2,q1_q17_dr25_tce,4201.0,4.682,0.591,295.57935,44.545959,15.058
8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,4.082274889,169.6375652,0.093,3.23015,17859.2,10.55,1016.0,251.48,1669.1,1,q1_q17_dr25_tce,5655.0,4.581,0.794,284.83047,44.658138,15.198
8628973,K00916.01,Kepler-724 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.314947362,171.313058,0.799,1.8007,1398.2,3.94,1155.0,421.03,123.5,1,q1_q17_dr25_tce,5609.0,4.481,0.944,293.45483,44.792789,15.142
8672910,K00918.01,Kepler-725 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,39.6431552,206.596798,0.062,6.5292,15663.8,10.98,472.0,11.74,690.3,1,q1_q17_dr25_tce,5231.0,4.455,0.9,283.97751,44.811562,15.011
8689031,K00920.01,Kepler-726 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.80451611,190.49737,0.751,3.4097,1144.9,2.6,543.0,20.48,49.9,1,q1_q17_dr25_tce,5481.0,4.629,0.708,291.71732,44.88731,15.067
8689373,K00921.01,Kepler-253 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.28194593,175.33988,0.168,3.4366,1110.7,2.53,680.0,50.6,55.0,2,q1_q17_dr25_tce,5196.0,4.593,0.775,291.84198,44.858089,15.532
8689373,K00921.02,Kepler-253 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.11993039,182.61535,0.206,4.2309,1506.9,2.95,563.0,23.77,60.7,1,q1_q17_dr25_tce,5196.0,4.593,0.775,291.84198,44.858089,15.532
